ID,Material_transformation_id,Chemical,Quantity,Unit,QUDT_unit
280,78,CH4,0.2033,gh,MicroMOL-PER-GM-HR
281,78,CH4,0.6100,g,MicroMOL-PER-GM
282,79,CH4,0.1467,gh,MicroMOL-PER-GM-HR
283,79,CH4,0.4400,g,MicroMOL-PER-GM
284,80,CH4,0.2567,gh,MicroMOL-PER-GM-HR
285,80,CH4,0.7700,g,MicroMOL-PER-GM
286,81,CO,19.4000,gh,MicroMOL-PER-GM-HR
287,81,CO,77.6000,g,MicroMOL-PER-GM
288,82,CO,45.0000,gh,MicroMOL-PER-GM-HR
289,82,CH4,13.2000,gh,MicroMOL-PER-GM-HR
290,82,CO,180.0000,g,MicroMOL-PER-GM
291,82,CH4,52.8000,g,MicroMOL-PER-GM
292,83,CO,5.1111,gh,MicroMOL-PER-GM-HR
293,83,CH4,0.0556,gh,MicroMOL-PER-GM-HR
294,83,CO,30.6667,g,MicroMOL-PER-GM
295,83,CH4,0.3333,g,MicroMOL-PER-GM
296,83,CO,1277.7778,m2h,MicroMOL-PER-M2-HR
297,83,CH4,13.8889,m2h,MicroMOL-PER-M2-HR
298,84,H2,6.0000,gh,MicroMOL-PER-GM-HR
299,84,CO,0.0479,gh,MicroMOL-PER-GM-HR
300,84,CH4,0.3958,gh,MicroMOL-PER-GM-HR
301,84,CH3OH,0.0479,gh,MicroMOL-PER-GM-HR
302,84,H2,144.0000,g,MicroMOL-PER-GM
303,84,CO,1.1500,g,MicroMOL-PER-GM
304,84,CH4,9.5000,g,MicroMOL-PER-GM
305,84,CH3OH,1.1500,g,MicroMOL-PER-GM
306,89,CH4,0.0600,gh,MicroMOL-PER-GM-HR
307,89,C2H4,0.0490,gh,MicroMOL-PER-GM-HR
308,89,CH4,0.2400,g,MicroMOL-PER-GM
309,89,C2H4,0.1960,g,MicroMOL-PER-GM
310,90,CH4,0.9140,gh,MicroMOL-PER-GM-HR
311,90,C2H4,0.5750,gh,MicroMOL-PER-GM-HR
312,90,CH4,3.6560,g,MicroMOL-PER-GM
313,90,C2H4,2.3000,g,MicroMOL-PER-GM
314,91,CH4,0.2810,gh,MicroMOL-PER-GM-HR
315,91,CH4,1.1240,g,MicroMOL-PER-GM
316,92,CH4,0.1480,gh,MicroMOL-PER-GM-HR
317,92,C2H4,0.0330,gh,MicroMOL-PER-GM-HR
318,92,CH4,0.5920,g,MicroMOL-PER-GM
319,92,C2H4,0.1320,g,MicroMOL-PER-GM
320,93,CH4,0.8470,gh,MicroMOL-PER-GM-HR
321,93,C2H4,0.5620,gh,MicroMOL-PER-GM-HR
322,93,CH4,3.3880,g,MicroMOL-PER-GM
323,93,C2H4,2.2480,g,MicroMOL-PER-GM
324,94,CH4,0.6170,gh,MicroMOL-PER-GM-HR
325,94,CH4,2.4680,g,MicroMOL-PER-GM
326,95,CO,10.5800,gh,MicroMOL-PER-GM-HR
327,95,CH4,1.6700,gh,MicroMOL-PER-GM-HR
328,95,CH3COH,32.1000,gh,MicroMOL-PER-GM-HR
329,95,CO,105.8000,g,MicroMOL-PER-GM
330,95,CH4,16.7000,g,MicroMOL-PER-GM
331,95,CH3COH,321.0000,g,MicroMOL-PER-GM
332,96,CO,15.4200,gh,MicroMOL-PER-GM-HR
333,96,CH4,7.6500,gh,MicroMOL-PER-GM-HR
334,96,CH3COH,87.9200,gh,MicroMOL-PER-GM-HR
335,96,CO,154.2000,g,MicroMOL-PER-GM
336,96,CH4,76.5000,g,MicroMOL-PER-GM
337,96,CH3COH,879.2000,g,MicroMOL-PER-GM
338,97,CO,9.9800,gh,MicroMOL-PER-GM-HR
339,97,CH4,5.1100,gh,MicroMOL-PER-GM-HR
340,97,CH3COH,69.1800,gh,MicroMOL-PER-GM-HR
341,97,CO,99.8000,g,MicroMOL-PER-GM
342,97,CH4,51.1000,g,MicroMOL-PER-GM
343,97,CH3COH,691.8000,g,MicroMOL-PER-GM
344,98,CO,8.0700,gh,MicroMOL-PER-GM-HR
345,98,CH4,3.3600,gh,MicroMOL-PER-GM-HR
346,98,CH3COH,50.7900,gh,MicroMOL-PER-GM-HR
347,98,CO,80.7000,g,MicroMOL-PER-GM
348,98,CH4,33.6000,g,MicroMOL-PER-GM
349,98,CH3COH,507.9000,g,MicroMOL-PER-GM
350,99,CO,16.8400,gh,MicroMOL-PER-GM-HR
351,99,CH4,8.0500,gh,MicroMOL-PER-GM-HR
352,99,CH3COH,75.6200,gh,MicroMOL-PER-GM-HR
353,99,CO,168.4000,g,MicroMOL-PER-GM
354,99,CH4,80.5000,g,MicroMOL-PER-GM
355,99,CH3COH,756.2000,g,MicroMOL-PER-GM
356,100,CO,20.1300,gh,MicroMOL-PER-GM-HR
357,100,CH4,13.3200,gh,MicroMOL-PER-GM-HR
358,100,CH3COH,97.8600,gh,MicroMOL-PER-GM-HR
359,100,CO,201.3000,g,MicroMOL-PER-GM
360,100,CH4,133.2000,g,MicroMOL-PER-GM
361,100,CH3COH,978.6000,g,MicroMOL-PER-GM
362,102,CH4,0.0600,gh,MicroMOL-PER-GM-HR
363,102,C2H4,0.4860,gh,MicroMOL-PER-GM-HR
364,102,CH4,0.2400,g,MicroMOL-PER-GM
365,102,C2H4,1.9440,g,MicroMOL-PER-GM
366,103,CH4,0.9140,gh,MicroMOL-PER-GM-HR
367,103,C2H4,0.5750,gh,MicroMOL-PER-GM-HR
368,103,CH4,3.6560,g,MicroMOL-PER-GM
369,103,C2H4,2.3000,g,MicroMOL-PER-GM
370,104,CH4,0.0430,gh,MicroMOL-PER-GM-HR
371,104,CH4,0.1720,g,MicroMOL-PER-GM
372,105,CH4,0.1530,gh,MicroMOL-PER-GM-HR
373,105,C2H4,0.4150,gh,MicroMOL-PER-GM-HR
374,105,CH4,0.6120,g,MicroMOL-PER-GM
375,105,C2H4,1.6600,g,MicroMOL-PER-GM
376,106,CH4,0.1850,gh,MicroMOL-PER-GM-HR
377,106,CH4,0.7400,g,MicroMOL-PER-GM
378,107,CH4,0.1770,gh,MicroMOL-PER-GM-HR
379,107,CH4,0.9735,g,MicroMOL-PER-GM
380,108,CH4,0.5400,gh,MicroMOL-PER-GM-HR
381,108,C2H4,0.1030,gh,MicroMOL-PER-GM-HR
382,108,CH4,2.1600,g,MicroMOL-PER-GM
383,108,C2H4,0.4120,g,MicroMOL-PER-GM
384,109,CH4,1.8600,gh,MicroMOL-PER-GM-HR
385,109,C2H4,0.2110,gh,MicroMOL-PER-GM-HR
386,109,CH4,7.4400,g,MicroMOL-PER-GM
387,109,C2H4,0.8440,g,MicroMOL-PER-GM
388,110,CH4,0.2790,gh,MicroMOL-PER-GM-HR
389,110,CH4,1.5345,g,MicroMOL-PER-GM
390,111,CH3OH,0.7833,gh,MicroMOL-PER-GM-HR
391,111,CH3OH,4.7000,g,MicroMOL-PER-GM
392,111,CH3OH,6.7143,m2h,MicroMOL-PER-M2-HR
393,112,CH3OH,6.3667,gh,MicroMOL-PER-GM-HR
394,112,CH3OH,38.2000,g,MicroMOL-PER-GM
395,112,CH3OH,54.5714,m2h,MicroMOL-PER-M2-HR
396,113,CH3OH,0.5667,gh,MicroMOL-PER-GM-HR
397,113,CH3OH,3.4000,g,MicroMOL-PER-GM
398,113,CH3OH,4.8571,m2h,MicroMOL-PER-M2-HR
399,114,CH3OH,6.2833,gh,MicroMOL-PER-GM-HR
400,114,CH3OH,37.7000,g,MicroMOL-PER-GM
401,114,CH3OH,53.8571,m2h,MicroMOL-PER-M2-HR
402,115,CH3OH,12.1500,gh,MicroMOL-PER-GM-HR
403,115,CH3OH,72.9000,g,MicroMOL-PER-GM
404,115,CH3OH,104.1429,m2h,MicroMOL-PER-M2-HR
405,116,CH3OH,19.7500,gh,MicroMOL-PER-GM-HR
406,116,CH3OH,118.5000,g,MicroMOL-PER-GM
407,116,CH3OH,169.2857,m2h,MicroMOL-PER-M2-HR
408,117,CH3OH,14.9500,gh,MicroMOL-PER-GM-HR
409,117,CH3OH,89.7000,g,MicroMOL-PER-GM
410,117,CH3OH,128.1429,m2h,MicroMOL-PER-M2-HR
411,118,CH3OH,3.3333,gh,MicroMOL-PER-GM-HR
412,118,CH3OH,20.0000,g,MicroMOL-PER-GM
413,118,CH3OH,28.5714,m2h,MicroMOL-PER-M2-HR
414,119,CH3OH,10.0000,gh,MicroMOL-PER-GM-HR
415,119,CH3OH,60.0000,g,MicroMOL-PER-GM
416,119,CH3OH,85.7143,m2h,MicroMOL-PER-M2-HR
417,120,CO,1.2500,gh,MicroMOL-PER-GM-HR
418,120,CH4,0.7500,gh,MicroMOL-PER-GM-HR
419,120,CH3OH,0.2500,gh,MicroMOL-PER-GM-HR
420,120,HCOOH,15.7500,gh,MicroMOL-PER-GM-HR
421,120,CH2O,2.5000,gh,MicroMOL-PER-GM-HR
422,120,CO,25.0000,g,MicroMOL-PER-GM
423,120,CH4,15.0000,g,MicroMOL-PER-GM
424,120,CH3OH,5.0000,g,MicroMOL-PER-GM
425,120,HCOOH,315.0000,g,MicroMOL-PER-GM
426,120,CH2O,50.0000,g,MicroMOL-PER-GM
427,121,CH4,41.6667,gh,MicroMOL-PER-GM-HR
428,121,CH3OH,500.0000,gh,MicroMOL-PER-GM-HR
429,121,HCOOH,166.6667,gh,MicroMOL-PER-GM-HR
430,121,CH2O,16.6667,gh,MicroMOL-PER-GM-HR
431,121,CH4,250.0000,g,MicroMOL-PER-GM
432,121,CH3OH,3000.0000,g,MicroMOL-PER-GM
433,121,HCOOH,1000.0000,g,MicroMOL-PER-GM
434,121,CH2O,100.0000,g,MicroMOL-PER-GM
435,122,CH3OH,156.2500,gh,MicroMOL-PER-GM-HR
436,122,CH3OH,1250.0000,g,MicroMOL-PER-GM
437,123,CH3OH,437.5000,gh,MicroMOL-PER-GM-HR
438,123,CH3OH,3500.0000,g,MicroMOL-PER-GM
439,124,CH3OH,512.5000,gh,MicroMOL-PER-GM-HR
440,124,CH3OH,4100.0000,g,MicroMOL-PER-GM
441,125,CH3OH,112.5000,gh,MicroMOL-PER-GM-HR
442,125,CH3OH,900.0000,g,MicroMOL-PER-GM
443,126,CH3OH,468.7500,gh,MicroMOL-PER-GM-HR
444,126,CH3OH,3750.0000,g,MicroMOL-PER-GM
445,127,CH3OH,406.2500,gh,MicroMOL-PER-GM-HR
